Chain Name,Hash,Status,Action,Token,Value,From,From Info,To,To Info
World,0x0x910ba91235fe6754539cb1cb6077cca6a0d65cd5072a3f468eafc0318bb28345,Success,0x8161114e,ERC-20: Worldcoin,,0xb745731f45b00ea86321430557de91cc7363c718,Contract,0xa349558830ae3a8d488fee470631b3d03f04925f,Contract
World,0x0x910ba91235fe6754539cb1cb6077cca6a0d65cd5072a3f468eafc0318bb28345,Success,0x8161114e,ERC-20: Worldcoin,,0x14a028cc500108307947dca4a1aa35029fb66ce0,Contract,0xa349558830ae3a8d488fee470631b3d03f04925f,Contract
World,0x0xd656a48bc4a91f93e11ef2777866dcd325371df87a2c7b04a5fb948efbacfb89,Success,0x8161114e,ERC-20: Worldcoin,,0xb745731f45b00ea86321430557de91cc7363c718,Contract,0x375cf3ddedc1d75f53206a06c850c21937c3a81a,Contract
World,0x0xd656a48bc4a91f93e11ef2777866dcd325371df87a2c7b04a5fb948efbacfb89,Success,0x8161114e,ERC-20: Worldcoin,,0x14a028cc500108307947dca4a1aa35029fb66ce0,Contract,0x375cf3ddedc1d75f53206a06c850c21937c3a81a,Contract
World,0x0xc27cca9b4f9d652592c4356a213500638790bd4b998401a21602ff3037c4a9fb,Success,0x8161114e,ERC-20: Worldcoin,,0xb745731f45b00ea86321430557de91cc7363c718,Contract,0xac0f8e938865cd0e2a9c24d950497c1bf050e9e8,Contract
World,0x0xc27cca9b4f9d652592c4356a213500638790bd4b998401a21602ff3037c4a9fb,Success,0x8161114e,ERC-20: Worldcoin,,0x14a028cc500108307947dca4a1aa35029fb66ce0,Contract,0xac0f8e938865cd0e2a9c24d950497c1bf050e9e8,Contract
World,0x0xd34f3782ecd22a9e6a75c9d2b9040262c0df610f6743bdce983f50c3263ec41f,Success,Aggregate3,ERC-20: Worldcoin,,0x610e319b3a3ab56a0ed5562927d37c233774ba39,Contract,0xeef8e5978527efc14b72829d6ef07044898c0c41,Contract
World,0x0x96752e6d10280d1225a0d6133d449f46cecb27b1674c6738a78b934ba57703d5,Success,Exec Transaction,ERC-20: Worldcoin,,0xbf86afd9071da229e7ba13fa78a5213a5240d6be,Contract,0x14a028cc500108307947dca4a1aa35029fb66ce0,Contract
World,0x0xec21eb2408dc62ee933a9ee6a1740b080f2e85ccffd72f77d389988b7ade1b8d,Success,Aggregate3,ERC-20: Worldcoin,,0x1bd82c8cf8b74f697e8a53ed0323f101168dc1a1,Contract,0xac219ff020ed9e9012e45fb0a18ca4ef5453b65a,Address
World,0x0x7985d129daae80b8bd76bbc10375a836969f199a51f0fc4c28badaba2473389c,Success,Aggregate3,ERC-20: Worldcoin,,0x13dc32bdf9d2f88a497cfdd66a2e6138ce31c141,Contract,0xfb2fc1151a2064dbc7d7defda3157e117e6f330c,Address
